"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"이비인후과(갑상선 · 두경부외과)","이동원","이동원 교수 이비인후과 (1).jpg","교수","로봇 갑상선 수술,  무흉터 갑상선 내시경 수술, 두경부 종양, 후두성대질환","2002. 3 ~ 2008. 2한양대학교 의과대학	학사
2011. 8 ~ 2013. 8한양대학교 대학원 의학과	석사
2018. 3 ~ 2021. 8한양대학교 대학원 이비인후과학 박사","2010. 3 ~ 2014. 2한양대학교병원 이비인후과 전공의
2015. 5 ~ 2017. 4청와대 대통령실 경호처 제1경비단 (수도방위사령부)
2017. 5 ~ 2018. 2한양대학교 서울병원 갑상선두경부외과 	전임의
2018. 3 ~ 2019. 2대구가톨릭대학병원 갑상선두경부외과 	전임의
2019. 3 ~ 현재	대구가톨릭대학병원 갑상선두경부외과 	조교수","대한이비인후과학회	정회원
대한갑상선두경부외과학회	정회원
아시아태평양 갑상선외과학회 APTS (Asia-Pacific Society of Thyroid Surgery)	정회원
미국 이비인후과학회 (American Academy of Otolaryngology-Head and Neck Surgery)	회원
대한두경부외과학회 진료지침위원
대한두경부외과학회 정보관리위원
Journal of Clinical Otolaryngology Head and Neck Surgery 논문 심사 위원
Clinical and Experimental Otorhinolaryngology 논문 심사 위원","2017. 9미국 이비인후과학회 International visiting scholarship 수상	American Academy of Otolaryngology-Head and Neck Surgery
2021. 3대한두경부외과학회 려산학술상 수상","2017.미국 MD Anderson Cancer Center (Head and Neck Surgery)","","","","","","","","","","","","","","","",""
"재활의학과","박기영","박기영 교수 재활의학과 (1).jpg","교수","뇌졸중 재활, 근골격계통증재활，근골격신경계 초음파","1983.03. ~ 1989.02.연세대학교 의과대학 	학사
1991.09. ~1993.08연세대학교 대학원 의학과	석사
1993.09. ~ 1998.02.연세대학교 대학원 의학과	박사","1990.03. ~ 1994.02.신촌세브란스병원 재활의학과 	전공의
1994.05. ~ 1997.02.삼육재활병원 재활의학과 	과장
1997.05. ~ 1998.02.강남세브란스병원 재활의학과 	전임의
1998.03. ~ 2008.09.계명대학교 동산의료원 재활의학과 	과장, 주임교수
2008.09 ~ 현재대구가톨릭대학교병원 재활의학과	주임교수
2015.01. ~ 2016.12.대구가톨릭대학교 의과대학	연구부학장","2004.10. ~ 2006.10. 2010.10. ~ 2012.10., 2018.11 ~ 현재대한재활의학회 	이사
2009.03 ~ 2013.01., 2018.11. ~ 현재대한재활의학회 대구경북지회	지회장
2019.03. ~ 현재대한신경근골격초음파학회 	회장
2016.11. ~ 2017.09.제6차 세계신경근골격초음파학술대회 	학술위원장
2018.07. ~ 2020.06.세계재활의학회 	아시아-오세아니아대륙 평의원 대표
2020.09 ~ 현재아시아-오세아니아 재활의학회 	학회 위원회 회장
2015.06 ~ 2017.05.연세대학교 재활의학과 동문회	동문 회장","2010.06.아시아-오세아니아 재활의학회 최우수포스터상
2013.05.대한초음파학회 학술상
2016.04. 2018.04.대한신경근골격초음파학회 최우수 구연상
2018.10. 2019.03. 2019.11.대한신경근골격초음파학회 우수 포스터상
2017.04.대한초음파학회 우수 포스터상","2006.09. ~ 2008.08.미국 노스캐롤라이나 주립대학 병원 재활의학과	미국","","","","","","","","","","","","","","","",""
"재활의학과","권동락","권동락 교수 재활의학과 (1).jpg","교수","소아재활(뇌성마비, 발달장애), 안짱걸음 재활클리닉, 사경클리닉, 사두증클리닉, 경직클리닉, 척추 측만증, 척추 중재적 시술, 뇌손상재활, 통증재활(요통, 무릎통증, 관절통증)","부산대학교 의과대학	학사
부산대학교 대학원 의학과	석사
부산대학교 대학원 의학과	박사","부산대학교병원	인턴
부산대학교병원 재활의학과	전공의
부산대학교병원 재활의학과	전임의사
한림대 한강성심병원	전임강사
차의과학대학교 분당차병원 재활의학과	조교수
대구가톨릭대학교병원 재활의학과	교수","2023~현재대한신경근골격초음파학회 교육위원장
2023~현재대한임상통증학회 이사(총무이사)
2023~현재대한스포츠의학회 홍보위원
2018~현재대한재활의학회 학술위원
2019~현재대한재활의학회 교육위원
2022~현재대한재활의학회 고시위원","2023~2027보건복지부 보건산업진흥원 수요자 중심 돌봄로봇 및 서비스실증연구개발 사업 선정
2023대한임상통증학회 우수구연상 수상
2023대한노인재활의학회 최우수포스터상 수상
2023대구가톨릭대학교 의과대학 연구특별상 수상
2022~2027연구재단 중견연구비 선정
2022대구광역시의회 의장상 표창
2022Annals of Translational Medicine (ATM) 우수저자상 수상
2022대한임상통증학회 춘계학술대회 최우수포스터상 수상
2022대구가톨릭대학교 의과대학 연구특별상 수상
2021International Journal of Clinical Practice 9월호 표지논문
2021대한신경근골격초음파학회 추계학술대회 최우수포스터상 수상
2020대한재활의학회 인해오정희 인당 정진상 연구기금 수상
2020대한재활의학회 제48회 추계학술대회 재활의학 우수연제상 수상
2020대한수면연구학회 우수논문상 수상
2020통증기능분석학회 학술상 수상
2020대구가톨릭대학교 의과대학 최우수 연구자상 수상
2019대한신경근골격초음파학회 추계학술대회 최우수포스터상 수상
2019대한재활의학회 제47회 추계학술대회 재활의학 학술상 수상
2019TERM (Tissue engineering and regenerative medicine) 6월호표지논문
2019대한신경근골격초음파학회 춘계학술대회 최우수포스터상 수상
2019대구가톨릭대학교 의과대학 우수 연구자상 수상
2019대한임상통증학회 춘계학술대회 최우수포스터상 수상
2018대한재활의학회 제46회 추계학술대회 재활의학 우수포스터상 수상
2018대한신경근골격초음파학회 추계학술대회 우수포스터상 수상
2018대한신경근골격초음파학회 춘계학술대회 우수포스터상 수상
2017대한재활의학회 제45회 추계학술대회 재활의학 우수연제상 수상
2017한국실험동물학회 32회 기녕 국제학술대회 우수포스터상 수상
2017대한신경근골격초음파학회 춘계학술대회 최우수포스터상 수상
2017대한임상통증학회 춘계학술대회 최우수포스터상 수상
2016~2022연구재단 일반연구 지원사업 선정
2016대한신경근골격초음파학회 8회 추계학술대회 최우수포스터상 수상
2016한국실험동물학회 31회 기녕 국제학술대회 우수포스터상 수상
2016대구가톨릭대학교 의과대학 최우수 학술상 수상
2015한국실험동물학회 30회 기녕 국제학술대회 우수포스터상 수상
2014Annual Meeting and Scientific Sessions of Pain Society of The Carolinas: travel scholarship award
2013한국실험동물학회 동계학술대회 우수포스터상 수상
2013대한초음파학회 국제 저술상 수상
2012대한신경근골격초음파학회 추계학술대회 우수포스터상 수상
2012마르퀴즈 후즈 후 인명사전 등재
2012JUIM 5월호 표지논문
2011~2012연구재단 신진연구 지원사업 선정
2011AJPMR 11월호 표지논문
2011대한신경근골격초음파학회 추계학술대회 우수구연상 및 포스터상 수상
2011대한초음파의학회 학술대회 초음파사진전 가작 수상
2010JKMS 5월호 표지논문
2020Braddom's physical medicine and rehabilitation, 6th Edition, author&nbsp;","2014~2015노스캐롤라이나 주립대학병원	미국","","","","","","","","","","","","","","","",""
"재활의학과","조희경","조희경 교수 재활의학과  (1).jpg","교수","심장 및 호흡재활, 암재활(림프부종재활), 족부재활(평발, 당뇨발, 발통증)","2001.03 ~ 2007.02영남대학교 의과대학 학사
2009.09 ~ 2011.08영남대학교 대학원 의학과 석사
2012.03 ~ 2015.08영남대학교 대학원 의학과 박사","2020.03 ~ 현재대구가톨릭대학교병원 부교수
2014.03 ~ 2020.02대구가톨릭대학교병원 조교수
2013.03 ~ 2014.02대구가톨릭대학교병원 임상조교수
2012.03 ~ 2013.02영남대학교병원 전임의
2008.03 ~ 2012.2영남대학교병원 전공의","2018.11 ~ 2020.10대한재활의학회 연구기획위원회
2018.11 ~ 현재대한재활의학회 수련위원회
2017.06 ~ 현재대한발의학회 편집위원회
대한림프부종학회 정회원
대한신경근골격초음파학회 정회원
대한초음파의학회 평생회원","2015.10.31제43회 대한재활의학회 추계학술대회 최우수연제상
2016.06. ~ 2018.05.한국연구재단 신진연구비","","","","","","","","","","","","","","","","",""
"정신건강의학과","이종훈","이종훈 교수 정신건강의학과 (1).jpg","교수","우울장애, 기분장애, 불안장애, 조현병, 불면증","1985.03~1991.02중앙대학교 의과대학	학사
1992.09~1994.08중앙대학교 대학원 의학과	석사
2000.03~2003.02계명대학교 대학원 의학과	박사","1991.03~1992.02중앙대학교 용산병원	인턴
1992.03~1996.02중앙대학교 용산병원 정신건강의학과	전공의
1999.05~2000.02대구가톨릭대학교병원 정신건강의학과	임상 강사
2000.03~2002.02대구가톨릭대학교병원 정신건강의학과	전임 강사
2002.04~2006.03대구가톨릭대학교병원 정신건강의학과	조교수
2006.04~2012.03대구가톨릭대학교병원 정신건강의학과	부교수
2012.04~현재대구가톨릭대학교병원 정신건강의학과	교수
2012.03~현재대구광역정신건강증진센터	센터장","1992.03~현재대한신경정신과학회	 정회원
2001.06~현재대한정신약물학회	평생회원
2001.03~2006.03IBANG (International Behavioral and Neural Genetics Society)	Member
2004.01~현재대한소아청소년정신의학회	평생회원
2006.03~현재대한생물치료정신의학회	윤리이사, 평생회원
2016.01~2017.01대한신경정신의학회	대구경북지부학회장","2002.06Outstanding Poster Presentation at CINP 2002 Montreal Canada 	Title “Possible association between serotonin transporter promotor region polymorphism and impulsivity in Korean”
2004.06Best Poster Award at CINP 2004, Paris France	Title “An Association of Haloperidol induced Tardive dyskinesia with polymorphisms in the Serotonin Transporter Promoter and Catecholamine-O-methyltransferase Genes in Korean Schizophrenic Patients”
2006.10.Best Poster Award at Annual Autumn Meeting of KNPA 2006, Seoul Korea	Association study of the brain-derived neurotropic factor (BDNF) gene in attention deficit hyperactivity disorder
2008.03.Best article award at Annual Spring Meeting of KCNP 2008, Seoul Korea	Multicenter, open-label study to evaluate the effects of methylphenidate-OROS (Concerta®) on cognitive functions children with attention deficit hyperactivity disorder Clinical Psychopharmacology and Neuroscience 2007:5(1);31-37&nbsp;","2005.03~2006.02Toronto University, Toronto western hospital & hospital of sick children	Research fellow","","","","","","","","","","","","","","","",""
"정신건강의학과","최태영","최태영 교수 정신건강의학과 (1).jpg","교수","소아·청소년 정신의학, 일반 정신의학","1992.03~1998.02.중앙대학교 의과대학	학사
1999.09~2002.02중앙대학교 대학원 의학과	석사
2002.03~2006.02중앙대학교 대학원 의학과	박사","1999.03 ~ 2000.02.중앙대학교병원 인턴
2000.03 ~ 2003.02.중앙대학교병원 정신건강의학과	전공의
2003.03 ~ 2004.03서울시립고양정신병원	과장
2004.04 ~ 2007.04병무청	징병전담의사
2007.05 ~ 2008.05중앙대학교병원 정신건강의학과	전임의
2008.06 ~ 2010.08대구가톨릭대학교병원 정신건강의학과	전임강사
2010.09 ~ 2014.08대구가톨릭대학교병원 정신건강의학과	조교수
2014.09 ~ 2020.08대구가톨릭대학교병원 정신건강의학과	부교수
2020.09 ~ 현재대구가톨릭대학교병원 정신건강의학과	교수
2014 ~ 현재대구가톨릭 Wee 센터, 경북권 게임과몰입힐링센터장","2019.1. ~ 현재대한생물치료정신의학회	간행이사
2010. 3. ~ 2018.12.31대한생물치료정신의학회	기획이사
2007. 5. ~ 2017.12.31한국정신병리-진단분류학회	재무/총무/보험법제이사
2007. 5. ~ 현재대한소아청소년정신의학회	전문 정회원
2007. 5. ~ 2013.12.대한소아청소년정신의학회	홍보위원회 위원
2006. 9. ~ 2012.12한국정신분석학회	준회원
1999. 3. ~ 현재대한신경정신의학회	정회원","2006.12국방부장관표창
2012.04대한신경정신의학회 문화정신의학 연구기금 수혜
2017.10.대구광역시장 표창
2018.12.문화체육관광부 장관 표창
2020.04대구시의사회 코로나19 연구기금 수혜
2020.07대한신경정신의학회 문화정신의학 연구기금 수혜","2012.09~2013.08.The Brain Institute, The University of Utah	미국","","","","","","","","","","","","","","","",""
"정신건강의학과","김준원","김준원 교수 정신건강의학과 (1).jpg","교수","일반정신의학, 수면클리닉, 소아발달장애","2000년 3월- 2006년 2월중앙대학교 의과대학	학사
2009년 3월- 2012년 2월중앙대학교 대학원 의학과	석사
2012년 9월- 2015년 2월중앙대학교 대학원 의학과	박사","2006년 3월~2007년 2월중앙대학교병원	인턴
2007년 3월~2011년 2월중앙대학교병원 정신건강의학과	전공의
2011년 4월~2014년 4월국립공주병원	공중보건의
2014년 5월~2016년 2월서울대학교 어린이병원	연구임상강사
2013년 1월~2014년 4월국민연금공단 자문위원
2019년 2월~2022년 2월근로복지공단	자문의
2019년 11월~2021년 11월보건복지부 입원적합성심사위원회	위원
2016년 3월~2017년 2월대구가톨릭대학교병원 정신건강의학과	임상전담조교수
2017년 3월~대구가톨릭대학교병원 정신건강의학과	조교수
2023년 3월~현재 대구가톨릭대학교의과대학 연구부학장","대한신경정신의학회	정회원
대한신경정신의학회 고시위원회	위원
대한신경정신의학회 청소년특임위원회 	위원
대한소아청소년정신의학회	정회원
대한청소년정신의학회	정회원
한국중독정신의학회	이사","2013년 9월보건복지부 장관표창
2015년 3월대한신경정신의학회 최신해 정신의학 연구기금 (신진연구비)
2016년 4월제18회 환인정신의학상 젊은의학자상
2017년 10월2017년도 대한신경정신의학회 추계학술대회 우수포스터상
2018년 6월2018년도 한국정신신체의학회 춘계학술대회 우수포스터상
2018년 9월2018년도 대한생물치료정신의학회 추계학술대회 우수포스터상
2019년 4월2019년도 대한신경정신의학회 학술상 심사위원회 최우수 연구논문	교신저자","","","","","","","","","","","","","","","","",""
"정신건강의학과","윤서영","윤서영 교수 정신건강의학과 (1).jpg","교수","치매, 경도인지장애, 노인정신의학, 정신신체의학","2004.03~2010.02고려대학교 의과대학	학사
2011.09~2013.08고려대학교 대학원 의학과	석사
2014.03~2017.02고려대학교 대학원 의학과	박사","2010.03~2011.02고려대학교의료원	인턴
2011.03~2015.02고려대학교 안산병원 정신건강의학과	전공의
2015.03~2017.02고려대학교 안산병원 정신건강의학과	임상강사
구로치매지원센터	지원의사
2015.10~2017.02안산시정신건강증진센터	센터장","대한신경정신의학회	홍보간사
한국정신신체의학회	평이사
대한노인정신의학회	홍보간사","","","","","","","","","","","","","","","","","",""
"정형외과","최창혁","최창혁 정형외과 교수(윕).jpg","교수","견관절 및 주관절, 관절경수술, 스포츠외상","1980. 3.~1986. 2.25경북대학교 의과대학 의학사
1990.3.1~1992.2.25경북대학교 대학원 의학과 석사
2002.2.25~ 2004.8.25경북대학교 대학원 의학과 박사","1990. 5.~1994. 2.경북대학교병원 정형외과 전공의
1994. 3~1994. 12영주 순창병원 정형외과 과장
1995 .3.~대구가톨릭대학교병원 정형외과	교수","2016.3. ~대한정형외과학회 견관절 분과 편집위원장
2019.10. ~2020. 10.대한 관절경학회	학회장
2018. 10. ~2019.10.대한정형외과 초음파학회 학회장
2011. 3. ~2012. 3대한견주관절학회 학회장","","1999.7.1 ~2000.6.30Columbia UniversityThe NewYork Orthopaedic Hospital Shoulder service.	미국","","","","","","","","","","","","","","","",""
"정형외과","조명래","","교수","인공관절(고관절 및 슬관절), 골반부 및 고관절 외상, 소아 하지 질환, 종양","1981~1988 경북대학교 학사
1990~1992 경북대학교 대학원 석사
2000~2004 경북대학교 대학원 박사
2002~2004 방송통신대 컴퓨터과학과 학사","1996~2004 부산 고신대학교 정형외과 교수
2004~현재대구가톨릭대학병원 정형외과 교수","1990~현재대한정형외과 학회 정회원, 편집위원, 수련위원, 보험위원,의료윤리위원, 이사 등
1996~현재대한고관절학회 학술위원, 편집위원, 평의원 등","2020년 대한정형외과학회 장려상","2000~2002 Mass General Hospital(Harvard University) USA
2004.6~2004.9 Zentral klinikum Germany","","","","","","","","","","","","","","","",""
"정형외과","고상봉","고상봉 교수 정형외과 (1).jpg","교수","척추 질환 및 외상( Spine disease, Trauma )","1990. 3. ~ 1996. 2.경북대학교 의과대학 학사
2001. 3. ~ 2003. 8.대구가톨릭대학교 대학원 의학과 석사( 정형외과 )
~ 2020. 2. 24.경북대학교 대학원 의학과 박사( 생화학 )","2009. 7. 20. ~대한척추외과학회 경추 연구회	위원
2017. 1. 1. ~건강보험공단	심사위원( 비상근 )
2017. 1. 1. ~진료 심사 평가원	심사위원( 비상근 )
2017. 1. 1. ~근로복지공단	심사위원( 비상근 )","2002. 3. ~대한 정형외과 학회 회원
2003. 3. ~대한 척추외과 학회 회원","2013. 11. 22.대한척추외과학회 젊은 연구자상
2019. 10.대한 정형외과학회 SICOT 장려상","2004. 9. 1. ~ 2004. 10. 31.Rush University, Chicago USA
2012. 9. 1. ~ 2013. 8. 31.Rothman Institute, Thomas Jefferson University	USA","","","","","","","","","","","","","","","",""
"정형외과","최원기","최원기 교수 정형외과 (1).jpg","교수","무릎(관절경, 인공관절 및 외상)","2000. 3 ~ 2006.2대구가톨릭대학교병원 의과대학 학사","2006. 3 ~ 2007. 2대구가톨릭대학교병원 인턴
2007. 3 ~ 2011. 2대구가톨릭대학교병원 정형외과	전공의
2014. 5 ~ 2016. 2대구가톨릭대학교병원 정형외과	전임의
2016. 3 ~ 2022.2대구가톨릭대학교병원 정형외과	조교수
2022. 3 ~ 현재대구가톨릭대학교병원 정형외과 부교수","2019. 3~현재대구경북 슬관절 연구회 연구회 이사
2020. 2~현재대한슬관절학회 학회지 심사위원","2018대구가톨릭대학교 의과대학 젊은 연구자상","","","","","","","","","","","","","","","","",""
"정형외과","김준영","김준영 교수 정형외과 (2).jpg","교수","견관절(어깨), 주관절(팔꿈치), 외상","2001. 3. ~ 2009. 2.경북대학교 의과대학 학사
2010. 3. ~ 2012. 2.경북대학교 대학원 의학과 석사
2015. 3. ~ 2018. 2.경북대학교 대학원 의학과 박사","2009. 3. ~ 2010. 2.경북대학교병원 인턴
2010. 3. ~ 2014. 2.경북대학교병원 정형외과	전공의
2014. 3. ~ 2016. 2.경북대학교병원 정형외과 전임의
2016. 3. ~ 2018. 4.경북대학교병원 정형외과 임상교수
2018. 5. ~ 2019. 2.대구가톨릭대학교병원 정형외과 임상조교수
2019. 3. ~ 현재대구가톨릭대학교병원 정형외과 조교수","2018. 10. ~대한견주관절학회 정회원
2018. 11. ~대한정형외과초음파학회 정회원
2018. 12. ~대한관절경학회 정회원
2019. 3. ~대한정형외과스포츠의학회 정회원
2019. 9. ~대한견주관절학회 제도개선위원회 위원","2017. 10.대한고관절학회 기초부문 국제학술상
2018. 11.2018년 국가연구개발 우수성과 100선","","","","","","","","","","","","","","","","",""
"정형외과","권재범","권재범 교수 정형외과 (1).jpg","교수","족부 족관절, 외상, 일반 정형외과","2003. 3 ~ 2009. 2대구가톨릭대학교 의과대학	학사
2012. 3 ~ 2014. 2대구가톨릭대학교 대학원 의학과	석사","2009.3 ~ 2010. 2대구가톨릭대학교병원	인턴
2010. 3 ~ 2014. 2대구가톨릭대학교병원 정형외과	전공의
2017. 5 ~ 2018. 2대구가톨릭대학교병원 정형외과	전임의
2018. 3 ~ 2019. 2신촌세브란스병원 정형외과	임상연구조교수
2019.3 ~대구가톨릭대학교병원 정형외과	조교수","2014. 3 ~대한정형외과학회	정회원
2019.3 ~대한족부족관절학회	정회원
2019. 5 ~대한관절경학회	정회원","2019. 10. 18대한정형외과학회 추계학술대회 학술장려상","","","","","","","","","","","","","","","","",""
"정형외과","송석균","송석균 교수 정형외과  (1).jpg","교수","고관절, 슬관절, 외상, 골다공증, 근감소증","2022 ~ 현재대구가톨릭대학교 대학원 의학과 박사
2020 ~ 2022경북대학교 대학원 의학과 석사
2007 ~ 2013대구가톨릭대학교 의과대학 학사","2021. 9. ~ 현재대구가톨릭대학교병원 정형외과 조교수
2021. 3. ~ 2021. 8.대구가톨릭대학교병원 정형외과 임상조교수
2019 ~ 2021대구가톨릭대학교병원 정형외과 전임의
2014 ~ 2018대구가톨릭대학교병원 정형외과 전공의","2020 ~ 현재대한고관절학회 관절보존위원회 위원
2019 ~ 현재대한골대사학회 정회원
2019 ~ 현재대한골절학회 정회원
2019 ~ 현재대한고관절학회 정회원
2019 ~ 현재대한정형외과학회 정회원
2022 ~ 현재대한정형외과연구학회 학술위원
2022 ~ 현재대구경북고관절연구회 간사
2023 ~ 현재대한고관절학회 학회지 심사위원","2020대한정형외과학회 학술상
2022생애 첫 연구사업 선정
2022일본 다케다 과학재단 장학생 선발","2022 ~ 2023Wakamatsu hospital for the University of Occupational and Environmental Health Japan(ISAKOS approved Teaching Center)","","","","","","","","","","","","","","","",""
"정형외과","류철환","류철환_2.jpg","전임의","일반정형외과","2012년 3월~2018년 2월대구가톨릭대학교 의과대학 학사","2018년~2019년대구가톨릭대학교병원 인턴
2019년~2023년대구가톨릭대학교병원 전공의
2013년~현재대구가톨릭대학교병원 전임의","2023년~현재대한정형외과학회 정회원","","","","","","","","","","","","","","","","","",""
"피부과","정 현","정현 교수 피부과 (1).jpg","교수","아토피 피부염, 피부알레르기 질환, 소아 피부질환, 피부미용","1972~1979연세대학교 의과대학	학사
1979~1981연세대학교 대학원 의학과	석사
1988~1990연세대학교 대학원 의학과	박사","1979~1980순천향대학교병원	인턴
1980~1983순천향대학교병원 피부과	전공의
1983~1984경북 칠곡군 보건소	공중보건의
1984~1986대한나협회 경북지부 부속병원	공중보건의
1986~1989&lt;/strong&gt;	순천향대학교병원 피부과	전임강사
1989~1991순천향대학교병원 피부과	조교수
1992~1998순천향대학교병원 피부과	부교수
1998~2001순천향대학교병원 피부과	교수
2001~2015대구가톨릭대학교병원 피부과	임상과장
2001~2018대구가톨릭대학교병원 피부과	교수
2019~대구가톨릭대학교병원 피부과	명예교수","1983~대한피부과학회	정회원
~	European Academy of Dermatology and Venerology	정회원
~	American Academy of Dermatology	정회원","","1991~1992피부과, 피츠버그대학	미국","","","","","","","","","","","","","","","",""
"피부과","박준수","박준수 교수 피부과 (1).jpg","교수","기초피부학, 일반 피부 질환,  피부병리, 피부종양","1996~2002대구가톨릭대학교 의과대학	학사
2003~2005대구가톨릭대학교 대학원 의학과	석사
2010~2012영남대학교 대학원 의학과	박사","2002~2003대구가톨릭대학교병원	인턴
2003~2007대구가톨릭대학교병원 피부과	전공의
2007~2008대구가톨릭대학교병원 피부과	임상강사
2008~2011대구가톨릭대학교병원 피부과	전임강사
2011~2015대구가톨릭대학교병원 피부과	조교수
2015~대구가톨릭대학교병원 피부과	임상과장
2016~대구가톨릭대학교병원 피부과	부교수
2017~대구가톨릭대학교병원 피부과	주임교수
2017~2019대구가톨릭대학교 의과대학	입학부학장","2007~대한피부과학회	정회원
2009~대한피부병리학회	정회원
2010~International Society of Dermatopathology	정회원
2012~American Academy of Dermatology	정회원
2013~European Academy of Dermatology and Venereology	정회원
2014~대한의진균학회	Associate Editor in Chief
2020~대한피부과학회	간행위원회 위원
2020~대한피부과학회	연구출판윤리위원회 위원
2020~대한피부과학회	기획정책위원회 위원","2017제24차 대한의진균학술대회 우수 논문상
2017제24차 대한의진균학술대회 우수연제상","2012St John’s Institute of Dermatopatholgy, King’s College London	영국
2013Department of Dermatopathology, Thomas Jefferson University	미국","","","","","","","","","","","","","","","",""
"혈관중재·혈관외과","박기혁","박기혁 교수 혈관외과 (1).jpg","교수","혈관외과, 동맥·정맥질환","1982.3~1988.2영남대학교 대학원 의학과 학사
1991.2~1993.2영남대학교 대학원 의학과 석사
2000.2~2002.2영남대학교 대학원 의학과 박사","2000.2~대구가톨릭대학교 교수","대한혈관외과학회 상임이사
대한당뇨발학회 이사
미국혈관외과학회 International Membership","","2008~2009UCSF(USA)","","","","","","","","","","","","","","","",""
"혈관중재·혈관외과","이재훈","이재훈 교수 외과 (1).jpg","교수","동맥질환(말초동맥폐색, 복부대동맥류, 급성 혈전증 , 당뇨발 혈관병증), 정맥질환(심부정맥혈전증, 하지정맥류, 정맥궤양), 임파부종, 혈관외상, 혈액투석혈관, 혈관기형","1998.3~2004.2영남대학교 의과대학 학사
2006.3~2008.8영남대학교 대학원 의학과	석사
2012.3~현재영남대학교 대학원 의학과 박사과정","2012.5~2014.2영남대학교병원 외과 전임의
2014.3~2014.8대구가톨릭대학교병원 외과 전임의
2014.9~2020.8대구가톨릭대학교병원 외과 조교수
2020.9~현재대구가톨릭대학교병원 외과 부교수","2019.1~2020.12대한혈관외과학회	보험위원회위원
2019.1~2020.12대한혈관외과학회	법제위원회위원","2014대한정맥학회 최우수구연상
2015대한혈관외과학회 우수구연상
2016대한외과초음파학회 우수연제발표상
2017대한투석접근학회 우수구연상
2017대한외과초음파학회 우수연제발표상","","","","","","","","","","","","","","","","",""
"혈액·종양내과","류헌모","류현모 교수 혈액종양내과 (1).jpg","교수","고형암,혈액암(림프종, 다발성골수종), 빈혈/혈액질환, 완화의료","영남대학교 의과대학(의학사)
영남대학교 의과대학(의학박사)","혈액종양학내과 분과 전문의
미국 시애틀 프레드 허치슨 암센터 (Fred Hutchinson Cancer Center) 혈액암 분야 연수
미국 뉴욕 메모리얼 슬론 케터링 암센터(MSKCC) 항암치료 분야 연수
대구가톨릭대학교 의과대학 종양혈액내과 교수","한국임상암학회 정회원
대한암학회 정회원
대한혈액학회 평의원
대한조혈모세포이식학회 정회원/이사
대한폐암학회 정회원
대한유방암학회 정회원
대한호스피스완화의료학회 정회원/이사
미국임상암학회 (American Society of Clinical Oncology) 정회원
미국암연구학회 (Ameircan Association for Cancer Research) 정회원
미국혈액학회 (American Society of Hematology) 정회원","","","","","","","","","","","","","","","","","",""
"혈액·종양내과","배성화","배성화 교수 혈액종양내과 (1).jpg","교수","혈액암 (백혈병, 다발골수종, 림프종),  빈혈/혈액질환, 조혈모세포이식","영남대학교 의과대학 학사
영남대학교 대학원 (내과학) 석사, 박사","영남대학병원 혈액종양내과 전임의
미국 프레드허치슨 암연구센터 연수
대구가톨릭대학교병원 종양혈액내과 교수","대한내과학회 회원
대한혈액학회 회원
대한조혈모세포이식학회 회원
대한암학회 회원
미국혈액학회 회원
유럽혈액학회 회원","","","","","","","","","","","","","","","","","",""
"혈액·종양내과","조윤영","조윤영 교수 혈액종양내과 (1).jpg","교수","고형암, 항암치료, 완화의료","1995. 3. ~ 2001. 2.대구가톨릭대학교 의과대학 학사
2004. 3. ~ 2006. 2.대구가톨릭대학교 대학원 의학과 석사
2007. 3. ~ 2009. 2.경북대학교 대학원 의학과 박사","2006. 3. ~ 2007. 2.경북대학교병원 혈액종양내과 전임의
2007. 3. ~ 2008. 2.대구가톨릭대학교 대학원 의학과 석사
2008. 3. ~ 2014. 4.동국대학교 경주병원 혈액종양내과 조교수
현재대구가톨릭대학교병원 혈액종양내과 임상부교수","","","","","","","","","","","","","","","","","","",""
"혈액·종양내과","
황윤희","","전임의","혈액종양내과","2013년 3월~2019년 2월 대구가톨릭대학교 의과대학 학사","2019년 3월~2020년 2월 대구가톨릭대학교병원 인턴
2020년 3월~2023년 2월 대구가톨릭대학교병원 전공의
2020년 3월~현재 대구가톨릭대학교병원 전임의","","","","","","","","","","","","","","","","","","",""
"호흡기내과","현대성","현대성 교수 호흡기내과 (1).jpg","교수","호흡기내과(폐렴, 급성폐손상, 폐암)","경북대학교 졸업
의학박사","2004년 미국 콜로라도 대학 폐암 연수
대구가톨릭대학교 의과대학 교수
현 대구가톨릭대학교병원 호흡기내과 과장","대한 내과학회 회원
대한 결핵 및 호흡기학회 회원
대한 중환자의학회 회원
미국흉부학회 회원
세계 폐암학회 회원
아시아 태평양 호흡기학회 회원","","","","","","","","","","","","","","","","","",""
"호흡기내과","김경찬","김경찬 교수 호흡기내과 (1).jpg","교수","폐렴, 폐암, 폐결핵, 만성폐쇄성폐질환","계명대학교 의과대학 졸업(92년)","계명의대 부속 동산의료원 호흡기내과 전임의
삼성서울병원 호흡기내과 전임의
현 대구가톨릭대학교 의과대학 교수","대한결핵및호흡기학회 정회원
대한중환자학회 정회원
대한폐암학회 정회원
American Thoracic Society 정회원","","","","","","","","","","","","","","","","","",""
