"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"류마티스내과","이화정","이화정 교수 류마티스내과 (1).jpg","교수","류마티스관절염, 루푸스, 골관절염, 염증성 근염","경북대학교 의과대학 학사
경북대학교 의학대학원 석사 (예방의학)
경북대학교 의학대학원 박사 과정 중 (내과학)","대구가톨릭대학교병원 류마티스내과 전임의 및 임상전담교원
내과전문의, 류마티스내과 분과전문의
대구가톨릭대학교 의과대학 부교수","대한내과학회 회원
대한류마티스학회 회원","","","","","","","","","","","","","","","","","",""
"류마티스내과","김지원","김지원 교수 류마티스내과 (1).jpg","교수","류마티스관절염, 골관절염, 루푸스, 쇼그렌증후군, 강직성 척추염, 전신성 경화증, 베체트병, 통풍","가톨릭대학교(서울) 대학원 의학과 박사
대구가톨릭대학교 대학원 의학과 석사
대구가톨릭대학교 의과대학	학사","(현) 대구가톨릭대학교병원	조교수
서울성모병원	임상강사
대구가톨릭대학교병원	임상강사
대구가톨릭대학교병원	전공의","대한내과학회	회원
대한류마티스학회	회원
대한류마티스학회 영상연구회	회원
대한류마티스학회 골관절염연구회	회원","2020 류마티스학연구재단 신진연구비
2018 대한류마티스학회 춘계학술대회 우수구연상
2017 대한류마티스학회 춘계학술대회 우수구연상","","","","","","","","","","","","","","","","",""
"류마티스내과","김보영","김보영_2.jpg","전임의","류마티스 관절염, 골관절염, 루푸스, 전신성 경화증, 강직성 척추염, 통풍","2015년 3월 ~ 2019년 2월경북대학교 의학전문대학원 석사","2019년 3월~2020년 2월경북대학교병원 인턴
2020년 3월~2023년 2월경북대학교병원 내과 전공의
2023년 3월~현재대구가톨릭대학교병원 전임의","대한내과학회 회원
대한류마티스학회 회원","","","","","","","","","","","","","","","","","",""
"마취통증의학과","노운석","노운석 교수 마취통증의학과 (1).jpg","교수","심장마취, 노인마취, 디스크, 협착증, 대상포진, 근골격계 통증, 삼차신경통, 두통, 안면통, 후경부통, 어깨통증, 무릎통증, 복합부위통증증후군, 암성통증, 척추수술 후 통증","영남대학교 의과대학 졸업
영남대학교 대학원 의학과 마취통증의학전공 석사 및 박사
마취통증의학 전문의
통증의학 세부전문의
중환자의학 세부전문의","대구가톨릭대학교병원전임의, 전임강사, 조교수, 부교수 역임
대구가톨릭대학교병원 마취통증의학과장, 수술실장 역임
대구가톨릭대학교 의과대학 마취통증의학교실 주임교수 역임
대구가톨릭대학교 의과대학 의학과장 역임
대구가톨릭대학교 의과대학 교무부학장 역임
현 대구가톨릭대학교병원 교수
근로복지공단 자문의사 역임
건강보험심사평가원 비상근심사위원 역임
현 한국의료분쟁조정 중재원 비상임조정위원","대한마취통증의학회 대구경북지회장 역임
대한마취통증의학회 법제이사 역임
대한통증학회 대구경북지회장 역임
대한마취통증의학회 삼남지역 학회장 역임
대한마취통증의학회 정회원
대한통증학회 정회원
대한심폐마취학회 정회원
대한중환자의학회 정회원","","미국 오하이주 클리브랜드 클리닉 마취연구센터 연수","","","","","","","","","","","","","","","",""
"마취통증의학과","정진용","정진용 교수 마취통증의학과 (1).jpg","교수","뇌신경마취, 흉부마취, 디스크, 협착증, 대상포진, 근골격계 통증, 삼차신경통, 두통, 안면통, 후경부통, 어깨통증, 무릎통증, 복합부위통증증후군, 암성통증, 척추수술 후 통증","1987.3 ~ 1993.2경북대학교 의과대학 학사
1997.3 ~ 2003.2대구가톨릭대학교 대학원 의학과 석사
2004.3 ~ 2007.2경북대학교 대학원 의학과 박사","1993.3 ~ 1998.2대구가톨릭대학교병원 인턴, 전공의
2001.5 ~ 2002.3대구가톨릭대학교병원 마취통증의학과 전임의
2002.9 ~ 2004.8대구가톨릭대학교병원 마취통증의학과 전임강사
2004.9 ~ 2008.8대구가톨릭대학교병원 마취통증의학과 조교수
2008.9 ~ 2014.8대구가톨릭대학교병원 마취통증의학과 부교수
2014.9 ~ 현재대구가톨릭대학교병원 마취통증의학과 교수
2011.1 ~ 2017.1대구가톨릭대학교병원 마취통증의학과 주임과장, 수술실장
2015.1 ~ 2021.1대구가톨릭대학교병원 마취통증의학과 주임교수
2015.1 ~ 2016.12대구가톨릭대학교병원 진료부차장, 입원부장
2017.1 ~ 2019.1대구가톨릭대학교병원 적정진료실장
2020.1 ~ 2021.12대구가톨릭대학교 의과대학 임상수기센터장
2021.9 ~ 현재대구가톨릭대학교병원 마취통증의학과 주임과장 및 수술실장
2022.1 ~ 현재대구가톨릭대학교병원 진료처 3실장","2011.4 ~ 현재대한뇌신경마취학회 이사
2013.4 ~ 2017.1Anesthesia and Pain Medicine 편집위원
2014.12 ~ 2016.11대한마취통증의학회 대구경북지회장
2016.11 ~ 2020.11대한마취통증의학회 의료정보이사
2004.3 ~ 현재대한통증학회 통증인정의
2011.7 ~ 현재대한중환자의학회 세부전문의
2020.12 ~ 현재대한통증학회 대구경북지회장","2015.11KJA 학술상
2016.4대한뇌신경학회 학술상","2008.9.1 ~ 2009.12.31Duke university medical center, NC USA","","","","","","","","","","","","","","","",""
"마취통증의학과","송석영","송석영 교수 마취통증의학과 (1).jpg","교수","심장마취, 노인마취, 정형외과마취","경북대학교 의학석사 및 박사
계명대학교 의과대학 졸업","현 대구가톨릭대학교병원 기획조정수석차장
현 대구가톨릭대학교 의과대학 교수(마취통증의학교실), 주임교수
현 대구가톨릭대학교병원 미래의료전략실장
현 의료기관평가인증원 조사위원
현 식약처 의료기기 전문위원
대구가톨릭대학교 의과대학 전임의,전임강사,조교수, 부교수 역임
대구가톨릭대학교 의과대학 의학과장 역임
대구가톨릭대학병원 기획처 차장(인공지능 미래의료 추진단 간사) 역임
대구가톨릭대학병원 적정진료관리실장 역임
대구가톨릭대학병원 마취통증의학과장 및 수술실장 역임
인공지능헬스케어컨소시엄(ICON) 진료활성화 위원장 역임","현 대한마취통증의학회 의료정보위원
현 대한노인마취통증학회 홍보이사
현 대한소아마취학회 대외협력이사
대한마취통증의학회 정회원
대한통증학회 정회원(고위자)
대한심폐혈관마취학회 정회원
대한심초음파학회 정회원
대한노인마취학회 정보이사 역임
대한소아마취학회 보험이사 역임","2016년 대한노인마취통증학회 창립학술대회 우수포스터발표상
2019년 대한마취통증의학회 학술대회(Koreanesthesia 2019 국제학술대회) : 우수초록상","미국 UCLA 마취통증의학과 심혈관연구센터 연수","","","","","","","","","","","","","","","",""
"마취통증의학과","김종해","김종해 교수 마취통증의학과 (1).jpg","교수","복부장기이식마취, 초음파 유도하 신경차단","1996 ~ 2002: 대구가톨릭대학교 의과대학 학사
2009 ~ 2011: 경북대학교 대학원 의학과 석사
2012 ~ 2014: 한국방송통신대학교 정보통계학과 학사","2009: 대구가톨릭대학교병원 마취통증의학과 임상강사
2010 ~ 2011: 대구가톨릭대학교병원 마취통증의학과 전임강사
2012 ~ 2015: 대구가톨릭대학교병원 마취통증의학과 조교수
2016 ~ 현재: 대구가톨릭대학교병원 마취통증의학과 부교수","2017 ~ 2018대한부위마취학회 학술위원
2014 ~ 2016대한이식마취학회 교육이사
2015 ~ 2017대한마취통증의학회 연구개발 위원
2016 ~ 현재대한마취통증의학회 통계라운드 위원
2016 ~ 2017대한마취통증의학회 학술위원
2015 ~ 현재대한호흡관리학회 간행이사","2018-11-9Koreanesthesia 특별단체상
2017-05-13대한이식마취학회 학술상
2013-11-16대한통증학회 최우수 학술상","2019. 08 ~ 2020. 08University of California San Diego	미국","","","","","","","","","","","","","","","",""
"마취통증의학과","임정아","임정아 교수 마취통증의학과 (1).jpg","교수","뇌신경마취, 정형외과마취","경북대학교 의학전문대학원 의학과 석사
경북대학교 대학원 의학과 박사","경북대학교병원 마취통증의학과 전공의
경북대학교병원 마취통증의학과 임상강사
경북대학교병원 마취통증의학과 임상교수
(현)대구가톨릭대학교병원 마취통증의학과 조교수","대한마취통증의학과 정회원
대한통증학회 정회원","","","","","","","","","","","","","","","","","",""
"마취통증의학과","이소영","이소영 교수 마취통증의학과 (1).jpg","교수","정형외과마취, 뇌신경마취, 디스크, 협착증, 대상포진, 근골격계 통증, 삼차신경통, 두통, 안면통, 후경부통, 어깨통증, 무릎통증, 복합부위통증증후군, 암성통증, 척추수술 후 통증","2017.9 ~ 2019.8대구가톨릭대학교 의학과 석사
2009.3 ~ 2015.2대구가톨릭대학교 의과대학 학사","2022.3 ~ 현재대구가톨릭대학교병원 마취통증의학과 조교수
2021.3 ~ 2022.2대구가톨릭대학교병원 마취통증의학과 임상강사
2020.3 ~ 2021.3서울성모병원 마취통증의학과 임상강사
2016.3 ~ 2020.2대구가톨릭대학교병원 마취통증의학과 전공의","2020 ~ 현재대한마취통증의학과 정회원
2020 ~ 현재대한통증의학회
2021 ~ 현재대한통증의학회 통증세부전문의
2021 ~ 현재대한뇌신경마취학회 정회원","2017. 5. 20.대한노인마취통증학회 우수발표상","","","","","","","","","","","","","","","","",""
"마취통증의학과","이준석","이준석 교수 마취통증의학과 (1).jpg","교수","정맥마취,일반마취, 통증치료","1989. 3. ~ 1996. 2.계명대학교 의과대학 학사
1998. 3. ~ 2000. 2.대구가톨릭대학교 대학원 의학과 석사","1997. 3. ~ 2001. 2.대구가톨릭대학교병원 마취통증의학과 전공의
2004. 5. ~ 2005. 2.대구가톨릭대학교병원 마취통증의학과 임상강사
2005. 3. ~ 2007. 2.대구가톨릭대학교병원 마취통증의학과 전임강사
2012. 1. ~ 2022. 2.에이마취통증의학과의원장
2022. 3. ~ 현재대구가톨릭대학교병원 마취통증의학과 임상교수요원","대한마취통증의학회 정회원
대한통증학회 정회원
대한통증학회 고위자과정수료","","","","","","","","","","","","","","","","","",""
